County_Name,state_abbr,State Identifier,Obesity_Prevalence,Hispanic,Asian,Black,White,food_access,inactivity,poverty,Metro_Values,Metro_Nonmetro,GEOID
Adams County,IL,17,0.243,0.015,0.008,0.039,0.927,0.376,0.222,0.134,0,Nonmetropolitan,17001
Alexander County,IL,17,0.196,0.010,0.003,0.342,0.624,0.736,0.183,0.287,1,Metropolitan,17003
Bond County,IL,17,0.206,0.034,0.010,0.054,0.904,0.569,0.177,0.139,1,Metropolitan,17005
Boone County,IL,17,0.231,0.216,0.012,0.024,0.858,0.618,0.197,0.096,1,Metropolitan,17007
Brown County,IL,17,0.190,0.055,0.004,0.175,0.784,0.624,0.167,0.155,0,Nonmetropolitan,17009
Bureau County,IL,17,0.217,0.093,0.008,0.007,0.935,0.577,0.212,0.117,0,Nonmetropolitan,17011
Calhoun County,IL,17,0.195,0.010,0.004,0.004,0.970,0.527,0.179,0.111,1,Metropolitan,17013
Carroll County,IL,17,0.203,0.041,0.006,0.018,0.945,0.378,0.190,0.125,0,Nonmetropolitan,17015
Cass County,IL,17,0.198,0.186,0.004,0.038,0.870,0.176,0.176,0.128,0,Nonmetropolitan,17017
Champaign County,IL,17,0.239,0.061,0.102,0.130,0.719,0.366,0.192,0.196,1,Metropolitan,17019
Christian County,IL,17,0.217,0.018,0.006,0.019,0.957,0.086,0.203,0.133,0,Nonmetropolitan,17021
Clark County,IL,17,0.202,0.014,0.003,0.005,0.971,0.561,0.190,0.121,0,Nonmetropolitan,17023
Clay County,IL,17,0.203,0.007,0.005,0.006,0.969,0.182,0.186,0.143,0,Nonmetropolitan,17025
Clinton County,IL,17,0.221,0.032,0.006,0.033,0.933,0.181,0.185,0.087,1,Metropolitan,17027
Coles County,IL,17,0.215,0.025,0.011,0.037,0.924,0.671,0.184,0.196,0,Nonmetropolitan,17029
Cook County,IL,17,0.260,0.250,0.070,0.237,0.542,0.165,0.216,0.155,1,Metropolitan,17031
Crawford County,IL,17,0.210,0.027,0.004,0.039,0.928,0.304,0.182,0.137,0,Nonmetropolitan,17033
Cumberland County,IL,17,0.198,0.014,0.004,0.002,0.974,0.000,0.176,0.112,0,Nonmetropolitan,17035
De Witt County,IL,17,0.202,0.028,0.001,0.009,0.942,0.172,0.178,0.112,0,Nonmetropolitan,17039
DeKalb County,IL,17,0.222,0.064,0.017,0.081,0.851,0.719,0.200,0.149,1,Metropolitan,17037
Douglas County,IL,17,0.204,0.074,0.007,0.007,0.948,0.292,0.178,0.095,0,Nonmetropolitan,17041
DuPage County,IL,17,0.222,0.064,0.017,0.081,0.851,0.457,0.200,0.069,1,Metropolitan,17043
Edgar County,IL,17,0.213,0.012,0.005,0.005,0.976,1.000,0.188,0.144,0,Nonmetropolitan,17045
Edwards County,IL,17,0.195,0.013,0.005,0.005,0.970,0.358,0.183,0.114,0,Nonmetropolitan,17047
Effingham County,IL,17,0.213,0.021,0.004,0.005,0.971,0.517,0.186,0.100,0,Nonmetropolitan,17049
Fayette County,IL,17,0.209,0.020,0.007,0.035,0.924,0.769,0.181,0.166,0,Nonmetropolitan,17051
